scenario,target,outage_s,rep,elapsed_s,phase,reachable,requests_total,committed_total,msgs_per_s,committed_per_s
load_p20.env,db,30,1,2,baseline,1,116947,116408,7913.41,7877.72
load_p20.env,db,30,1,4,baseline,1,156948,156408,10636.71,10601.86
load_p20.env,db,30,1,6,baseline,1,196940,196408,13361.91,13326.75
load_p20.env,db,30,1,8,baseline,1,236932,236408,16123.17,16088.77
load_p20.env,db,30,1,10,baseline,1,276951,276408,18070.29,18071.43
load_p20.env,db,30,1,12,baseline,1,316955,316408,19230.29,19214.29
load_p20.env,db,30,1,14,baseline,1,356935,356408,19851.14,19857.14
load_p20.env,db,30,1,16,baseline,1,396945,396408,19999.86,20000.00
load_p20.env,db,30,1,18,baseline,1,436952,436408,20000.29,20000.00
load_p20.env,db,30,1,20,baseline,1,476947,476408,20000.50,20000.00
load_p20.env,db,30,1,23,baseline,1,516956,516408,20001.71,20000.00
load_p20.env,db,30,1,25,baseline,1,556938,556408,19999.07,20000.00
load_p20.env,db,30,1,27,baseline,1,596952,596408,19999.79,20000.00
load_p20.env,db,30,1,29,baseline,1,636941,636408,20000.43,20000.00
load_p20.env,db,30,1,31,baseline,1,676939,676408,19999.57,20000.00
load_p20.env,db,30,1,33,baseline,1,716946,716408,19999.57,20000.00
load_p20.env,db,30,1,35,baseline,1,756943,756408,19999.71,20000.00
load_p20.env,db,30,1,37,baseline,1,796941,796408,19998.93,20000.00
load_p20.env,db,30,1,39,baseline,1,836930,836408,19998.17,20000.00
load_p20.env,db,30,1,41,baseline,1,876936,876408,19999.58,20000.00
load_p20.env,db,30,1,43,baseline,1,916930,916408,19999.25,20000.00
load_p20.env,db,30,1,45,baseline,1,956941,956408,19999.58,20000.00
load_p20.env,db,30,1,47,baseline,1,996949,996408,20000.50,20000.00
load_p20.env,db,30,1,49,baseline,1,1036932,1036408,19999.25,20000.00
load_p20.env,db,30,1,51,baseline,1,1076936,1076408,20000.50,20000.00
load_p20.env,db,30,1,53,baseline,1,1116946,1116408,20000.83,20000.00
load_p20.env,db,30,1,55,baseline,1,1156954,1156408,20002.00,20000.00
load_p20.env,db,30,1,57,baseline,1,1196929,1196408,19999.00,20000.00
load_p20.env,db,30,1,59,baseline,1,1236933,1236408,19998.67,20000.00
load_p20.env,db,30,1,61,outage,1,1276948,1276408,20001.33,20000.00
load_p20.env,db,30,1,63,outage,0,,,16595.66,16593.33
load_p20.env,db,30,1,65,outage,0,,,13873.51,13872.00
load_p20.env,db,30,1,68,outage,0,,,11156.78,11156.00
load_p20.env,db,30,1,70,outage,0,,,8442.00,8438.67
load_p20.env,db,30,1,72,outage,0,,,5718.14,5713.33
load_p20.env,db,30,1,74,outage,0,,,,
load_p20.env,db,30,1,76,outage,0,,,,
load_p20.env,db,30,1,78,outage,0,,,,
load_p20.env,db,30,1,80,outage,0,,,,
load_p20.env,db,30,1,82,outage,0,,,,
load_p20.env,db,30,1,84,outage,0,,,,
load_p20.env,db,30,1,86,outage,0,,,,
load_p20.env,db,30,1,88,outage,0,,,,
load_p20.env,db,30,1,90,recovery,0,,,,
load_p20.env,db,30,1,92,recovery,0,,,,
load_p20.env,db,30,1,94,recovery,0,,,,
load_p20.env,db,30,1,96,recovery,0,,,,
load_p20.env,db,30,1,98,recovery,1,2561,2000,,
load_p20.env,db,30,1,100,recovery,1,42501,42000,3251.44,3220.00
load_p20.env,db,30,1,102,recovery,1,82528,82000,5975.00,5941.33
load_p20.env,db,30,1,104,recovery,1,122519,122000,8697.08,8664.00
