scenario,group,value,reps,msgs_s_mean,msgs_s_std,committed_s_mean,committed_s_std,req_p50_mean,req_p50_std,req_p95_mean,req_p95_std,req_p99_mean,req_p99_std,req_p999_mean,req_p999_std,e2e_p50_mean,e2e_p50_std,e2e_p95_mean,e2e_p95_std,e2e_p99_mean,e2e_p99_std,e2e_p999_mean,e2e_p999_std,db_p50_mean,db_p50_std,db_p95_mean,db_p95_std,db_p99_mean,db_p99_std,db_p999_mean,db_p999_std,cpu_cores_mean,cpu_cores_std,mem_mb_mean,mem_mb_std
timescale_batching_off.env,batching,off,3,19362.8748,330.0342,4186.1454,642.2620,1.1026,0.0128,2.1042,0.0116,3.6550,0.2337,9.4362,3.3674,6888.1969,1607.4144,22969.7221,493.7010,25254.1803,756.9433,26138.2701,359.5886,6889.8617,1606.2607,22969.7221,493.7010,25265.2300,746.8476,26142.4476,354.1745,6.8295,0.1384,640.9670,5.4751
timescale_batching_on.env,batching,on,3,19157.0158,73.9469,19153.7358,73.4004,1.0434,0.0260,1.9080,0.0345,2.9073,0.0569,6.2520,0.2542,25.3357,2.6003,66.6672,4.3444,115.8276,5.9009,185.6213,4.1244,24.2753,2.5699,65.4854,4.2655,114.4006,6.1244,183.1601,4.2848,6.2328,0.1247,581.6688,17.1643
timescale_batchsize_020.env,batchsize,020,3,19147.6603,106.8851,17106.4843,127.1923,1.0256,0.0489,1.8764,0.0597,2.8117,0.1600,6.4163,0.9589,1108.2984,418.2533,5424.6610,378.7880,7576.7605,490.6045,9140.1204,920.9352,1107.2410,417.8692,5430.6589,378.0418,7583.2825,474.9288,9138.8109,920.4216,6.4285,0.1213,549.4393,45.7962
timescale_batchsize_050.env,batchsize,050,3,19113.1744,33.7488,19107.3017,33.2962,1.0754,0.0386,1.8711,0.0698,2.7509,0.1278,5.4214,0.5777,19.7319,1.7768,58.7772,0.2755,104.2982,1.6499,179.5407,0.7249,18.7024,1.8190,57.5260,0.2687,102.3537,1.4797,177.0564,0.7035,6.0608,0.1555,584.8589,3.5200
timescale_batchsize_100.env,batchsize,100,3,19220.9012,56.3897,19217.7438,61.7224,0.9610,0.0853,1.8413,0.0837,2.6759,0.1270,5.2538,0.7974,31.3839,4.5652,110.8569,1.2040,160.7975,1.8664,199.3816,0.8086,30.3322,4.4629,109.6255,1.1403,158.9750,2.0554,197.7300,1.0718,5.5955,0.0676,586.0063,20.9370
timescale_batchsize_200.env,batchsize,200,3,19147.0951,50.0819,19125.3141,48.4229,1.0192,0.0585,1.8421,0.1054,2.6551,0.0597,4.3979,0.1632,101.2200,0.0801,191.7508,0.1520,199.6885,0.0000,203.4943,0.1614,99.5489,0.0786,191.4305,0.1490,199.3529,0.0000,203.3802,0.0000,4.8667,0.0978,595.9765,28.1117
timescale_batchsize_500.env,batchsize,500,3,19141.9262,30.2558,19117.4393,32.8608,0.9952,0.0620,1.8985,0.0301,2.6733,0.0664,4.2273,0.1686,103.0335,0.0000,195.4053,0.0000,203.3802,0.0000,203.4943,0.1614,103.0335,0.0000,191.5359,0.0000,199.9122,0.7910,203.3802,0.0000,4.8022,0.0593,590.5345,15.5275
timescale_batchto_0050.env,batchto,0050,3,19043.8816,76.1541,19040.6745,76.5401,1.0286,0.0896,1.8932,0.1393,2.5497,0.2347,4.6163,0.5148,27.7117,0.3428,50.7416,0.3447,53.8800,0.4068,65.8170,4.1717,26.6105,0.3617,49.6000,0.4383,52.6390,0.5001,64.3579,4.2528,5.3395,0.0933,597.4648,25.7601
timescale_batchto_0200.env,batchto,0200,3,19136.8474,42.0004,19129.6000,43.9393,1.0934,0.0660,1.9122,0.1256,2.6823,0.1010,4.7223,0.1430,16.3466,0.6803,57.2054,1.1425,102.4279,1.1200,178.0984,1.4872,15.2193,0.6350,55.9847,0.9882,100.3996,1.0979,175.0630,0.7665,5.9627,0.0932,576.6997,16.0043
timescale_batchto_0500.env,batchto,0500,3,19068.1073,67.8484,19063.4011,66.8634,1.0483,0.0379,1.8337,0.0711,2.5192,0.2323,5.0552,0.7153,18.6148,1.8527,54.6219,0.4328,82.7502,9.2398,152.4524,54.7855,17.5080,1.8958,53.5023,0.4013,81.2870,8.9484,150.4246,54.1634,5.7722,0.1560,564.2104,27.6726
timescale_batchto_1000.env,batchto,1000,3,18999.9029,216.4660,18997.7547,216.9008,0.9531,0.0338,1.8089,0.0394,2.5119,0.1424,4.5229,0.7406,17.6522,0.8913,55.9216,0.5538,94.0369,12.9735,210.5674,75.9057,16.5858,0.9501,54.8316,0.5603,92.4705,12.8961,208.1362,75.0472,5.7043,0.1745,596.0681,19.2675
timescale_load_p04.env,load,p04,3,3662.9566,9.6652,3662.0964,6.9586,2.3958,0.1042,3.8326,0.0512,4.2648,0.0156,6.6695,0.3328,104.8259,0.2163,195.4053,0.0000,203.3802,0.0000,207.4889,0.0000,102.2401,0.8925,192.0733,0.7600,200.0241,0.9493,203.9509,0.8070,1.1353,0.0051,267.5937,19.9387
